,area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_cleaned,price_per_sqft
2481,Super built-up  Area,Ready To Move,Jayanagar,2 BHK,Rakulai,1170,2.0,3.0,105.0,2,1170.0,8974.358974358975
2482,Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,Srhts P,1448,2.0,2.0,68.0,2,1448.0,4696.132596685083
2483,Super built-up  Area,18-May,Kadugodi,3 BHK,Alestrb,1762,3.0,3.0,110.0,3,1762.0,6242.905788876277
2484,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,SLireap,1105,2.0,1.0,38.65,2,1105.0,3497.737556561086
2485,Super built-up  Area,18-Mar,Yelahanka,3 BHK,Miitat ,1825,3.0,1.0,105.0,3,1825.0,5753.424657534247
2486,Super built-up  Area,19-Dec, Bhoganhalli,1 RK,Rosha I,296,1.0,0.0,22.89,1,296.0,7733.108108108108
2487,Plot  Area,Ready To Move,Kumbalgodu,5 Bedroom,not provided,1200,4.0,1.0,85.0,5,1200.0,7083.333333333333
2488,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185,2.0,2.0,43.0,2,1185.0,3628.6919831223627
2489,Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,Sryalan,1320,2.0,1.0,38.12,3,1320.0,2887.8787878787875
2490,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Suelsa ,1058,2.0,1.0,48.0,2,1058.0,4536.862003780719
2491,Super built-up  Area,Ready To Move,Bellandur,2 BHK,not provided,1220,2.0,2.0,60.0,2,1220.0,4918.0327868852455
2492,Super built-up  Area,18-Aug,Sarjapur,2 BHK,not provided,925,2.0,1.0,25.0,2,925.0,2702.7027027027025
2493,Super built-up  Area,18-May,Old Madras Road,2 BHK,Brglede,1200,2.0,1.0,72.0,2,1200.0,6000.0
2494,Super built-up  Area,Ready To Move,Kengeri,3 BHK,not provided,1160,2.0,2.0,40.6,3,1160.0,3500.0
2495,Plot  Area,Ready To Move,Kengeri Satellite Town,3 Bedroom,not provided,600,4.0,3.0,72.0,3,600.0,12000.0
2496,Super built-up  Area,18-Jul,banashankari stage iii sa,3 BHK,not provided,1411,3.0,2.0,91.72,3,1411.0,6500.3543586109145
2497,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1550,3.0,2.0,78.0,3,1550.0,5032.258064516129
2499,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NDionas,2475,4.0,2.0,130.0,3,2475.0,5252.525252525253
2501,Super built-up  Area,19-Dec,7th Phase JP Nagar,4 BHK,Puarero,2503,4.0,0.0,188.0,4,2503.0,7510.986815821015
2502,Super built-up  Area,Ready To Move,Marathahalli,4 BHK,Prionad,2524,5.0,2.0,190.0,4,2524.0,7527.733755942948
2503,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,not provided,1063,2.0,2.0,42.0,2,1063.0,3951.081843838194
2504,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,not provided,1077,2.0,1.0,37.7,2,1077.0,3500.4642525533895
2505,Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,not provided,1200,3.0,2.0,44.0,2,1200.0,3666.6666666666665
2506,Built-up  Area,Ready To Move,Hosakerehalli,4 BHK,not provided,1500,3.0,2.0,70.0,4,1500.0,4666.666666666667
2507,Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Vaniai ,1045,2.0,2.0,76.77,2,1045.0,7346.411483253589
2508,Super built-up  Area,Ready To Move,Kanakapura,3 BHK,SPavenc,1290,2.0,3.0,45.15,3,1290.0,3500.0
2509,Super built-up  Area,Ready To Move,Hoodi,2 BHK,SMaxyay,1400,2.0,1.0,78.0,2,1400.0,5571.428571428572
2510,Built-up  Area,Ready To Move,Begur Road,3 BHK,not provided,1600,3.0,2.0,58.14,3,1600.0,3633.75
2512,Super built-up  Area,Ready To Move,Nagavara,3 BHK,not provided,1545,2.0,1.0,58.0,3,1545.0,3754.045307443366
2513,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Mades G,1680,3.0,1.0,112.0,3,1680.0,6666.666666666667
2514,Built-up  Area,Ready To Move,Amruthnagar,2 BHK,not provided,1350,2.0,1.0,67.5,2,1350.0,5000.0
2515,Super built-up  Area,Ready To Move,Gottigere,2 BHK,not provided,950,2.0,1.0,38.0,2,950.0,4000.0
2516,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,not provided,1050,2.0,2.0,45.0,2,1050.0,4285.714285714285
2517,Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,not provided,1305,2.0,2.0,49.0,3,1305.0,3754.7892720306513
2518,Plot  Area,Ready To Move,Hosakerehalli,4 Bedroom,not provided,800,4.0,2.0,120.0,4,800.0,15000.0
2520,Plot  Area,Ready To Move,MS Pallya,3 Bedroom,not provided,1100,3.0,1.0,78.0,3,1100.0,7090.909090909091
2522,Super built-up  Area,19-Oct,Begur Road,3 BHK,Pruthg ,1634,3.0,1.0,83.33,3,1634.0,5099.7552019583845
2523,Super built-up  Area,Ready To Move,Prithvi Layout,2 BHK,Prlmsge,1352,2.0,2.0,85.0,2,1352.0,6286.98224852071
2524,Super built-up  Area,17-Sep,Balagere,2 BHK,HiqueMa,1145,2.0,2.0,65.0,2,1145.0,5676.855895196507
2525,Super built-up  Area,18-May,Alfa Garden Layout,2 BHK,not provided,1240,2.0,1.0,43.79,2,1240.0,3531.451612903226
2526,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,2200,3.0,2.0,190.0,3,2200.0,8636.363636363636
2527,Super built-up  Area,18-Mar,Bommasandra Industrial Area,2 BHK,not provided,1020,2.0,1.0,39.0,2,1020.0,3823.529411764706
2529,Super built-up  Area,18-Aug,Raja Rajeshwari Nagar,2 BHK,Prllsan,1168,2.0,1.0,61.0,2,1168.0,5222.602739726028
2530,Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,SNbay G,1205,2.0,1.0,75.0,2,1205.0,6224.066390041494
2531,Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Vatra N,1195,2.0,2.0,100.0,2,1195.0,8368.200836820084
2532,Built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,not provided,1028,2.0,1.0,49.0,2,1028.0,4766.536964980544
2533,Super built-up  Area,Ready To Move,Akshya Nagar,2 BHK,not provided,1175,2.0,2.0,48.27,2,1175.0,4108.085106382979
2534,Super built-up  Area,Ready To Move,Pai Layout,3 BHK,Saent A,1550,2.0,2.0,90.0,3,1550.0,5806.451612903225
2535,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,not provided,1826,3.0,2.0,165.0,3,1826.0,9036.144578313253
2536,Plot  Area,Ready To Move,Hoodi,5 Bedroom,not provided,2400,5.0,2.0,160.0,5,2400.0,6666.666666666667
2537,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Niareum,1603,3.0,2.0,96.0,3,1603.0,5988.7710542732375
2538,Built-up  Area,Ready To Move,Marathahalli,3 BHK,not provided,1350,3.0,1.0,72.0,3,1350.0,5333.333333333333
2539,Built-up  Area,Ready To Move,KR Puram,1 BHK,not provided,714,1.0,1.0,28.0,1,714.0,3921.5686274509803
2540,Super built-up  Area,18-Nov,Whitefield,2 BHK,not provided,1215,2.0,3.0,65.0,2,1215.0,5349.794238683127
2541,Built-up  Area,Ready To Move,Malleshpalya,3 BHK,MancyRe,1405,2.0,2.0,77.0,3,1405.0,5480.427046263345
2542,Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1142,2.0,1.0,51.0,2,1142.0,4465.84938704028
2544,Super built-up  Area,Ready To Move,Whitefield,3 BHK,Brony H,1870,3.0,2.0,90.0,3,1870.0,4812.834224598931
2545,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Chllsev,1313,2.0,2.0,73.0,2,1313.0,5559.786747905559
2546,Built-up  Area,Ready To Move,Hennur Gardens,3 BHK,PlhtsHe,1945,3.0,3.0,120.0,3,1945.0,6169.665809768638
2547,Super built-up  Area,17-Jul,Thanisandra,3 BHK,Bhmesy ,1573,3.0,2.0,95.0,3,1573.0,6039.4151303242215
2548,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Mades G,1255,2.0,1.0,92.0,2,1255.0,7330.677290836654
2549,Super built-up  Area,Ready To Move,Benson Town,4 BHK,not provided,1400,3.0,2.0,91.15,4,1400.0,6510.714285714285
2550,Super built-up  Area,18-May,Kannamangala,2 BHK,not provided,1235,2.0,2.0,43.63,2,1235.0,3532.7935222672063
2551,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Shthi S,1380,2.0,1.0,52.0,3,1380.0,3768.1159420289855
2553,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,not provided,1238,2.0,1.0,67.0,2,1238.0,5411.954765751211
2554,Super built-up  Area,18-Oct,Chennammana Kere,3 BHK,not provided,1465,2.0,3.0,74.72,3,1465.0,5100.341296928327
2555,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,not provided,1418,2.0,2.0,103.0,2,1418.0,7263.7517630465445
2556,Super built-up  Area,Ready To Move,Victoria Layout,3 BHK,not provided,1650,3.0,1.0,165.0,3,1650.0,10000.0
2557,Built-up  Area,Ready To Move, Anekal,1 RK,not provided,351,1.0,1.0,16.0,1,351.0,4558.404558404558
2558,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sagnage,1279,2.0,2.0,48.0,2,1279.0,3752.9319781078966
2559,Built-up  Area,Ready To Move,Kasavanhalli,3 Bedroom,not provided,1870,3.0,1.0,200.0,3,1870.0,10695.187165775402
2562,Plot  Area,Ready To Move,Mathikere,3 Bedroom,not provided,1550,2.0,1.0,150.0,3,1550.0,9677.41935483871
2564,Super built-up  Area,18-Aug,Uttarahalli,3 BHK,DSera S,1845,2.0,1.0,68.27,3,1845.0,3700.271002710027
2565,Super built-up  Area,Ready To Move,Motappa Layout,3 BHK,Puodse ,1360,2.0,1.0,59.27,3,1360.0,4358.088235294118
2566,Built-up  Area,Ready To Move,Friends Colony,3 BHK,not provided,1150,2.0,1.0,75.0,3,1150.0,6521.739130434783
2567,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1260,2.0,2.0,49.5,2,1260.0,3928.5714285714284
2568,Plot  Area,Ready To Move,Doddabidrakallu,3 Bedroom,not provided,1200,3.0,1.0,74.0,3,1200.0,6166.666666666667
2569,Built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,965,2.0,1.0,42.5,2,965.0,4404.145077720207
2570,Built-up  Area,Ready To Move,Hoodi,3 BHK,Adion M,1350,2.0,3.0,48.0,3,1350.0,3555.5555555555557
2571,Super built-up  Area,18-Jul,Bhoganhalli,2 BHK,Rosha I,1447,2.0,1.0,75.97,2,1447.0,5250.172771250864
2572,Super built-up  Area,Ready To Move,Arehalli,3 BHK,not provided,1229,3.0,1.0,86.03,3,1229.0,7000.0
2573,Super built-up  Area,Ready To Move,Kudlu,2 BHK,not provided,1027,2.0,2.0,43.0,2,1027.0,4186.952288218111
2574,Super built-up  Area,Ready To Move,Gottigere,2 BHK,M denGa,1153,2.0,1.0,48.5,2,1153.0,4206.418039895923
2576,Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,A idse ,1065,2.0,2.0,50.0,2,1065.0,4694.835680751174
2577,Built-up  Area,Ready To Move,Tala Cauvery Layout,2 BHK,Skarkev,1030,2.0,3.0,61.0,2,1030.0,5922.330097087379
2578,Super built-up  Area,Ready To Move,Mallasandra,2 BHK,not provided,1340,2.0,2.0,61.0,2,1340.0,4552.238805970149
2580,Built-up  Area,Ready To Move,Sri Balaji Krupa Layout,1 Bedroom,not provided,600,1.0,0.0,32.0,1,600.0,5333.333333333333
2581,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2.0,3.0,44.42,3,1410.0,3150.354609929078
2582,Super built-up  Area,20-Dec,Varthur,2 BHK,Myple M,1055,2.0,2.0,45.35,2,1055.0,4298.578199052133
2583,Super built-up  Area,18-May,Yelahanka,2 BHK,Prensya,1304,2.0,1.0,79.0,2,1304.0,6058.2822085889575
2585,Built-up  Area,Ready To Move,Kammasandra,2 BHK,Puitea ,990,2.0,1.0,31.5,2,990.0,3181.818181818182
2586,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,not provided,1035,2.0,1.0,39.33,2,1035.0,3800.0
2587,Super built-up  Area,21-Jun,Tumkur Road,1 BHK,Coowsri,596 - 804,1.0,0.0,30.09,1,700.0,4298.571428571428
2588,Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,not provided,1120,2.0,2.0,43.0,2,1120.0,3839.285714285714
2589,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300,2.0,2.0,73.0,2,1300.0,5615.384615384615
2590,Super built-up  Area,21-Jan,Tumkur Road,2 BHK,Sapus S,1239,2.0,1.0,82.0,2,1239.0,6618.240516545601
2591,Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Daivon ,1403,3.0,3.0,51.63,3,1403.0,3679.9714896650034
2592,Super built-up  Area,Ready To Move,Hosa Road,2 BHK,Sosisic,1365,2.0,1.0,92.0,2,1365.0,6739.92673992674
2593,Super built-up  Area,Ready To Move,8th block Koramangala,2 BHK,Sid 2ss,1165,2.0,1.0,135.0,2,1165.0,11587.982832618025
2594,Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,not provided,1130,2.0,3.0,45.19,3,1130.0,3999.1150442477874
2595,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Solia D,1776.42,3.0,2.0,105.0,3,1776.42,5910.764346269463
2596,Plot  Area,Ready To Move,Vidyaranyapura,4 Bedroom,not provided,900,4.0,3.0,175.0,4,900.0,19444.444444444445
2597,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,not provided,1194,2.0,2.0,47.0,2,1194.0,3936.348408710218
2598,Super built-up  Area,Ready To Move,Bidadi,2 BHK,Etuney ,1107,2.0,2.0,33.0,2,1107.0,2981.029810298103
2599,Super built-up  Area,Ready To Move,Nagavara,3 BHK,not provided,2319,3.0,2.0,180.0,3,2319.0,7761.966364812419
2600,Super built-up  Area,Ready To Move,Nallurhalli,3 BHK,DNtonri,1520,3.0,3.0,80.0,3,1520.0,5263.1578947368425
2601,Super built-up  Area,19-Jul,Kannamangala,3 BHK,Sonue A,1536,3.0,1.0,89.0,3,1536.0,5794.270833333333
2603,Super built-up  Area,Ready To Move,Belathur,2 BHK,Viiniai,1050,2.0,1.0,38.0,2,1050.0,3619.0476190476193
2604,Super built-up  Area,22-Jun,Hoodi,3 BHK,GoAirej,1850,3.0,2.0,146.0,3,1850.0,7891.891891891892
2605,Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Diisein,1112,2.0,2.0,62.0,2,1112.0,5575.5395683453235
2606,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,not provided,1535,3.0,2.0,72.5,3,1535.0,4723.127035830619
2607,Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,not provided,1050,2.0,1.0,35.0,2,1050.0,3333.3333333333335
2609,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,JDensar,1250,3.0,2.0,65.0,3,1250.0,5200.0
2610,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,CSvelMa,1187,2.0,3.0,52.0,2,1187.0,4380.791912384162
2611,Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,not provided,1164,2.0,1.0,56.0,2,1164.0,4810.996563573884
2612,Super built-up  Area,18-May,Electronic City Phase II,3 BHK,SNbay G,1395,2.0,1.0,62.78,3,1395.0,4500.358422939068
2613,Super built-up  Area,18-Jul,Arekere,3 BHK,RRnumn ,2072,3.0,2.0,108.0,3,2072.0,5212.355212355213
2614,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450,3.0,3.0,60.91,3,1450.0,4200.689655172414
2615,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1550,3.0,2.0,82.0,3,1550.0,5290.322580645161
2616,Super built-up  Area,Ready To Move,Sampige Layout,2 BHK,not provided,1315,2.0,2.0,90.0,2,1315.0,6844.106463878327
2618,Super built-up  Area,Ready To Move,Amruthnagar,2 BHK,Saeur G,1210,2.0,2.0,72.0,2,1210.0,5950.413223140496
2619,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,47.0,3,1075.0,4372.093023255814
2621,Super built-up  Area,18-May,Virgonagar,3 BHK,not provided,1215,3.0,1.0,42.2,3,1215.0,3473.251028806584
2622,Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Prmesad,1470,2.0,2.0,75.0,3,1470.0,5102.040816326531
2624,Built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,1590,2.0,2.0,125.0,3,1590.0,7861.635220125786
2625,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Shdhia ,1050,2.0,1.0,36.75,2,1050.0,3500.0
2626,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1306,2.0,1.0,55.91,2,1306.0,4281.010719754977
2628,Built-up  Area,Ready To Move,"Kudlu Village, ",3 BHK,not provided,1445,3.0,2.0,64.0,3,1445.0,4429.065743944637
2629,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,not provided,1220,3.0,2.0,58.0,3,1220.0,4754.098360655737
2631,Super built-up  Area,18-May,Ramagondanahalli,2 BHK,ViistLa,1215,2.0,1.0,51.26,2,1215.0,4218.930041152264
2632,Built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1920,2.0,1.0,88.0,3,1920.0,4583.333333333333
2633,Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,not provided,1390,2.0,2.0,60.0,2,1390.0,4316.546762589928
2634,Plot  Area,Ready To Move,Battarahalli,3 Bedroom,not provided,800,2.0,1.0,75.0,3,800.0,9375.0
2635,Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,not provided,600,3.0,2.0,100.0,3,600.0,16666.666666666668
2636,Super built-up  Area,21-Jul,Hoodi,2 BHK,GoAirej,1196,2.0,0.0,71.74,2,1196.0,5998.327759197324
2637,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Siaraa ,1550,2.0,2.0,75.0,3,1550.0,4838.709677419355
2638,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418,2.0,2.0,101.0,2,1418.0,7122.708039492242
2639,Super built-up  Area,19-Mar,Varthur Road,3 BHK,not provided,1655,3.0,2.0,115.0,3,1655.0,6948.640483383686
2640,Built-up  Area,Ready To Move,KR Puram,2 BHK,SancyRe,1115,2.0,2.0,33.45,2,1115.0,3000.0000000000005
2641,Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2 BHK,NCiteEl,1170,2.0,2.0,68.0,2,1170.0,5811.965811965812
2642,Super built-up  Area,Ready To Move,Anekal,2 BHK,Sraveks,1035,2.0,2.0,38.3,2,1035.0,3700.483091787439
2643,Super built-up  Area,Ready To Move,Singasandra,3 BHK,not provided,1306,2.0,2.0,58.0,3,1306.0,4441.04134762634
2644,Super built-up  Area,18-Dec,Kengeri,2 BHK,VBn 2lm,750,2.0,2.0,22.0,2,750.0,2933.3333333333335
2645,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1917,3.0,3.0,122.0,3,1917.0,6364.110589462703
2646,Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Frowsru,1615,3.0,3.0,58.0,3,1615.0,3591.331269349845
2647,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,not provided,1071,2.0,2.0,52.25,2,1071.0,4878.618113912232
2648,Super built-up  Area,Ready To Move,Koramangala,2 BHK,Suryais,1325,2.0,2.0,119.0,2,1325.0,8981.132075471698
2650,Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,not provided,1400,2.0,1.0,88.0,3,1400.0,6285.714285714285
2651,Super built-up  Area,21-Jan,Tumkur Road,2 BHK,Sapus S,1246,2.0,1.0,82.0,2,1246.0,6581.0593900481545
2652,Built-up  Area,Ready To Move,Sarjapur,2 BHK,Coa It ,1215,2.0,0.0,40.0,2,1215.0,3292.1810699588477
2653,Super built-up  Area,Ready To Move,Munnekollal,2 BHK,Akave E,1200,2.0,2.0,49.5,2,1200.0,4125.0
2654,Plot  Area,Ready To Move,Kurubarahalli,4 Bedroom,not provided,450,3.0,1.0,53.0,4,450.0,11777.777777777777
2655,Super built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1200,2.0,2.0,60.0,2,1200.0,5000.0
2656,Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,not provided,945,2.0,2.0,50.0,2,945.0,5291.005291005291
2658,Super built-up  Area,Ready To Move,Hormavu,2 BHK,Nadhian,1175,2.0,1.0,52.0,2,1175.0,4425.531914893617
2659,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SrireSo,920,2.0,1.0,63.0,2,920.0,6847.826086956522
2661,Plot  Area,Ready To Move,Bidadi,2 Bedroom,not provided,1600,2.0,2.0,110.0,2,1600.0,6875.0
2662,Plot  Area,Ready To Move,Sanjay nagar,4 Bedroom,not provided,750,2.0,0.0,110.0,4,750.0,14666.666666666666
2664,Built-up  Area,Ready To Move,Bhagyalakshmi Avenue,2 BHK,Prineth,955,1.0,2.0,34.01,2,955.0,3561.256544502618
2665,Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1750,3.0,3.0,100.0,3,1750.0,5714.285714285715
2666,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Suitea ,1425,2.0,2.0,64.0,3,1425.0,4491.228070175439
2668,Super built-up  Area,20-Dec,Whitefield,2 BHK,not provided,1165,2.0,1.0,40.5,2,1165.0,3476.3948497854076
2669,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Maidei ,1050,2.0,2.0,48.0,2,1050.0,4571.428571428572
2670,Super built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,ShourSp,1370,2.0,2.0,75.0,3,1370.0,5474.4525547445255
2671,Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1374,2.0,1.0,72.0,3,1374.0,5240.174672489083
2672,Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1754,3.0,2.0,124.0,3,1754.0,7069.555302166476
2673,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1847,3.0,2.0,110.0,3,1847.0,5955.603681645913
2674,Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1850,4.0,3.0,139.0,3,1850.0,7513.513513513513
2676,Super built-up  Area,Ready To Move,Doddakannelli,2 BHK,BMtusLo,1187,2.0,2.0,45.0,2,1187.0,3791.0699241786015
2677,Built-up  Area,18-Dec,Bommasandra Industrial Area,3 BHK,not provided,1400,2.0,1.0,40.44,3,1400.0,2888.5714285714284
2678,Plot  Area,Ready To Move,Kengeri Hobli,3 Bedroom,not provided,600,2.0,0.0,30.0,3,600.0,5000.0
2679,Super built-up  Area,Ready To Move,Chamrajpet,2 BHK,not provided,1350,2.0,3.0,180.0,2,1350.0,13333.333333333334
2681,Super built-up  Area,21-Dec,Thanisandra,1 BHK,Bhe 2ko,693,1.0,1.0,34.3,1,693.0,4949.494949494949
2682,Super built-up  Area,21-May,Dairy Circle,3 BHK,Soeurri,1980,3.0,2.0,224.0,3,1980.0,11313.131313131313
2683,Super built-up  Area,Ready To Move,KR Puram,2 BHK,Saavem ,1021,2.0,1.0,48.0,2,1021.0,4701.273261508325
2684,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1165,2.0,2.0,95.0,2,1165.0,8154.50643776824
2685,Super built-up  Area,19-Mar,Horamavu Agara,3 BHK,Prhar G,1756,3.0,2.0,92.0,3,1756.0,5239.179954441914
2686,Super built-up  Area,Ready To Move,Bharathi Nagar,3 BHK,FoapeWa,1739,3.0,1.0,105.0,3,1739.0,6037.952846463485
2687,Super built-up  Area,Ready To Move,Varthur,2 BHK,Caiseur,1280,2.0,1.0,65.0,2,1280.0,5078.125
2688,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,not provided,1215,2.0,2.0,58.86,2,1215.0,4844.444444444444
2689,Super built-up  Area,18-Apr,Munnekollal,2 BHK,Sadhii ,950,2.0,1.0,46.5,2,950.0,4894.736842105263
2690,Built-up  Area,Ready To Move,Kengeri,3 BHK,not provided,1082,2.0,1.0,49.0,3,1082.0,4528.650646950093
2691,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,not provided,1050,2.0,1.0,42.0,2,1050.0,4000.0
2692,Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Cerdsga,1080,2.0,0.0,53.35,2,1080.0,4939.814814814815
2693,Super built-up  Area,Ready To Move,Arekere,2 BHK,Maierr ,1100,2.0,2.0,55.0,2,1100.0,5000.0
2695,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,PraleSi,1311,2.0,1.0,78.0,2,1311.0,5949.656750572082
2696,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1608,3.0,1.0,67.98,3,1608.0,4227.611940298508
2697,Super built-up  Area,Ready To Move,Begur Road,2 BHK,not provided,1160,2.0,2.0,36.0,2,1160.0,3103.448275862069
2698,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veitaus,1170,2.0,1.0,71.0,2,1170.0,6068.376068376068
2699,Super built-up  Area,Ready To Move,Kengeri,2 BHK,not provided,1155,2.0,2.0,40.6,2,1155.0,3515.151515151515
2700,Super built-up  Area,18-Dec,Hebbal,3 BHK,Magiaya,1255,2.0,1.0,77.68,3,1255.0,6189.641434262949
2701,Super built-up  Area,Ready To Move,Rayasandra,2 BHK,not provided,1065,2.0,2.0,44.95,2,1065.0,4220.657276995305
2702,Super built-up  Area,Ready To Move,Neeladri Nagar,1 BHK,Guenoa ,674,1.0,1.0,21.0,1,674.0,3115.727002967359
2703,Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,not provided,1936,4.0,2.0,126.0,3,1936.0,6508.264462809917
2705,Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,not provided,1100,2.0,1.0,38.45,2,1100.0,3495.454545454546
2706,Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,2257,4.0,2.0,157.0,3,2257.0,6956.136464333185
2707,Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,not provided,1055,2.0,2.0,55.0,2,1055.0,5213.270142180095
2708,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1530,3.0,3.0,51.87,3,1530.0,3390.1960784313724
2709,Super built-up  Area,Ready To Move,Dinnur,3 BHK,not provided,1700,3.0,1.0,97.0,3,1700.0,5705.882352941177
2710,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Tentsw ,1575,2.0,2.0,78.0,3,1575.0,4952.380952380952
2712,Super built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,Ahntyve,1263,2.0,1.0,93.32,2,1263.0,7388.756927949327
2713,Super built-up  Area,Ready To Move,KR Puram,3 BHK,MCvarar,1255 - 1863,3.0,0.0,69.315,3,1559.0,4446.119307248236
2714,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,MB-laan,1043,2.0,2.0,65.0,2,1043.0,6232.023010546501
2715,Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2.0,2.0,53.5,2,1255.0,4262.948207171315
2716,Super built-up  Area,18-Mar,JP Nagar,2 BHK,Shestut,1300 - 1405,2.0,0.0,93.865,2,1352.5,6940.110905730129
